acq_date,grid_id,af_flag
2024-01-01,4488667,0
2024-01-01,4495870,0
2024-01-01,4495879,0
2024-01-01,4499472,0
2024-01-01,4499474,0
2024-01-01,4503082,0
2024-01-01,4506678,0
2024-01-01,4506679,0
2024-01-01,4506681,0
2024-01-01,4506682,0
2024-01-01,4506688,0
2024-01-01,4506689,0
2024-01-01,4510267,0
2024-01-01,4510277,0
2024-01-01,4510278,0
2024-01-01,4510280,0
2024-01-01,4510281,0
2024-01-01,4510282,0
2024-01-01,4510283,0
2024-01-01,4510286,0
2024-01-01,4510288,0
2024-01-01,4513873,0
2024-01-01,4513883,0
2024-01-01,4513884,0
2024-01-01,4513887,0
2024-01-01,4513888,0
2024-01-01,4513890,0
2024-01-01,4513892,0
2024-01-01,4517482,0
2024-01-01,4517483,0
2024-01-01,4517487,0
2024-01-01,4517488,0
2024-01-01,4517490,0
2024-01-01,4517491,0
2024-01-01,4517492,0
2024-01-01,4521066,0
2024-01-01,4521067,0
2024-01-01,4521084,0
2024-01-01,4521091,0
2024-01-01,4521093,0
2024-01-01,4524684,0
2024-01-01,4524689,0
2024-01-01,4524692,0
2024-01-01,4524693,0
2024-01-01,4528268,0
2024-01-01,4528278,0
2024-01-01,4528280,0
2024-01-01,4528284,0
2024-01-01,4528286,0
2024-01-01,4531883,0
2024-01-01,4531884,0
2024-01-01,4531885,0
2024-01-01,4531888,0
2024-01-01,4531890,0
2024-01-01,4535466,0
2024-01-01,4535468,0
2024-01-01,4535469,0
2024-01-01,4535470,0
2024-01-01,4535475,0
2024-01-01,4535482,0
2024-01-01,4535484,0
2024-01-01,4535485,0
2024-01-01,4535488,0
2024-01-01,4535492,0
2024-01-01,4535493,0
2024-01-01,4539067,0
2024-01-01,4539085,0
2024-01-01,4539093,0
2024-01-01,4542665,0
2024-01-01,4542670,0
2024-01-01,4542671,0
2024-01-01,4542681,0
2024-01-01,4542682,0
2024-01-01,4542684,0
2024-01-01,4546268,0
2024-01-01,4546280,0
2024-01-01,4546281,0
2024-01-01,4546286,0
2024-01-01,4549869,0
2024-01-01,4549880,0
2024-01-01,4549884,0
2024-01-01,4549885,0
2024-01-01,4549886,0
2024-01-01,4549887,0
2024-01-01,4549888,0
2024-01-01,4549889,0
2024-01-01,4549890,0
2024-01-01,4549891,0
2024-01-01,4553463,0
2024-01-01,4553470,0
2024-01-01,4553473,0
2024-01-01,4553484,0
2024-01-01,4553485,0
2024-01-01,4553486,0
2024-01-01,4553487,0
2024-01-01,4553488,0
2024-01-01,4553489,0
2024-01-01,4553490,0
2024-01-01,4553491,0
2024-01-01,4553492,0
2024-01-01,4553493,0
2024-01-01,4553494,0
2024-01-01,4557066,0
2024-01-01,4557084,0
2024-01-01,4557086,0
2024-01-01,4557087,0
2024-01-01,4557088,0
2024-01-01,4557089,0
2024-01-01,4557090,0
2024-01-01,4557091,0
2024-01-01,4557092,0
2024-01-01,4557093,0
2024-01-01,4560672,0
2024-01-01,4560673,0
2024-01-01,4560681,0
2024-01-01,4564274,0
2024-01-01,4567864,0
2024-01-01,4567871,0
2024-01-01,4567885,0
2024-01-01,4571463,0
2024-01-01,4571466,0
2024-01-01,4571467,0
2024-01-01,4571468,0
